C00177436|30004|384.0|1|384
C00384818|02895|250.0|1|250
C00177436|30750|230.0|1|230
C00177436|04105|384.0|1|384
C00384818|02895|292.0|2|583
C00177436|04105|384.0|2|768
C00177436|04105|384.0|3|1152
C00277437|04105|384.0|1|384
C00077437|04105|384.0|1|384
C00217437|04105|384.0|1|384
C00179437|04105|384.0|1|384
C00177436|30004|384.0|1|384
C00384818|02895|250.0|1|250
C00177436|30750|230.0|1|230
C00177436|04105|384.0|1|384
C00384818|02895|292.0|2|583
C00177436|04105|384.0|2|768
C00177436|04105|384.0|3|1152
C00277437|04105|384.0|1|384
C00077437|04105|384.0|1|384
C00217437|04105|384.0|1|384
C00179437|04105|384.0|1|384
C00177436|30004|384.0|1|384
C00384818|02895|250.0|1|250
C00177436|30750|230.0|1|230
C00177436|04105|384.0|1|384
C00384818|02895|291.5|2|583
C00177436|04105|384.0|2|768
C00177436|04105|384.0|3|1152
C00277437|04105|384.0|1|384
C00077437|04105|384.0|1|384
C00217437|04105|384.0|1|384
C00179437|04105|384.0|1|384
