C00077437|01312017|384.0|1|384
C00177436|12012016|384.0|1|384
C00177436|01312017|384.0|4|1382
C00179437|01312017|384.0|1|384
C00217437|01312017|384.0|1|384
C00277437|01312017|384.0|1|384
C00384818|01122017|292.0|2|583
C00077437|01312017|384.0|1|384
C00177436|12012016|384.0|1|384
C00177436|01312017|384.0|4|1382
C00179437|01312017|384.0|1|384
C00217437|01312017|384.0|1|384
C00277437|01312017|384.0|1|384
C00384818|01122017|292.0|2|583
C00077437|01312017|384.0|1|384
C00177436|12012016|384.0|1|384
C00177436|01312017|384.0|4|1382
C00179437|01312017|384.0|1|384
C00217437|01312017|384.0|1|384
C00277437|01312017|384.0|1|384
C00384818|01122017|291.5|2|583
